汉字,ch1,ch2,ja1,ja2
声,sh,eng,s,ē(ei)
星,x,ing,s,ē(ei)
晴,q,ing,s,ē(ei)
切,q,ie,s,etu
雪,x,üe,s,etu
船,ch,uan,s,en
線,x,ian,s,en
前,q,ian,z,en
組,z,u,s,o
走,z,ou,s,ō
多,d,uo,t,a
太,t,ai,t,ai
太,t,ai,t,a
体,t,i,t,ai
体,t,i,t,ē(ei)
台,t,ai,d,ai
台,t,ai,t,ai
地,d,i,t,i
地,d,i,z,i
池,ch,i,t,i
知,zh,i,t,i
茶,ch,a,t,ya
茶,ch,a,s,a
昼,zh,ou,t,yū
長,ch,ang,t,yō
鳥,n,iao,t,yō
朝,ch,ao,t,yō
直,zh,i,t,yoku
直,zh,i,z,iki
通,t,ong,t,ū
弟,d,i,d,ai
弟,d,i,t,ē(ei)
店,d,ian,t,en
點,d,ian,t,en
電,d,ian,d,en
刀,d,ao,t,ō
冬,d,ong,t,ō
当,d,ang,t,ō
東,d,ong,t,ō
答,d,a,t,ō
頭,t,ou,t,ō
同,t,ong,d,ō
道,d,ao,d,ō
読,d,u,d,oku
読,d,u,t,oku
内,n,ei,n,ai
内,n,ei,d,ai
南,n,an,n,an
肉,r,ou,n,iku
馬,m,a,b,a
売,m,ai,b,ai
買,m,ai,b,ai
麦,m,ai,b,aku
半,b,an,h,an
番,f,an,b,an
父,f,u,h,u
風,f,eng,h,ū
風,f,eng,h,u
分,f,en,h,un
分,f,en,b,un
分,f,en,b,u
聞,w,en,b,un
聞,w,en,m,on
米,m,i,b,ē(ei)
歩,b,u,h,o
歩,b,u,b,u
母,m,u,b,o
方,f,ang,h,ō
北,b,ei,h,oku
毎,m,ei,m,ai
妹,m,ei,m,ai
萬,w,an,m,an
明,m,ing,m,ē(ei)
明,m,ing,m,yō
鳴,m,ing,m,ē(ei)
毛,m,ao,m,ō
門,m,en,m,on
夜,y,e,y,a
野,y,e,y,a
友,y,ou,y,ū
用,y,ong,y,ō
曜,y,ao,y,ō
來,l,ai,r,ai
里,l,i,r,i
理,l,i,r,i
話,h,ua,w,a
悪,∅,e,∅,aku
悪,∅,e,∅,o
安,∅,an,∅,an
暗,∅,an,∅,an
医,y,i,∅,i
委,w,ei,∅,i
意,y,i,∅,i
育,y,u,∅,iku
員,y,üan,∅,in
院,y,üan,∅,in
飲,y,in,∅,in
運,y,ün,∅,un
泳,y,ong,∅,ē(ei)
駅,y,e,∅,eki
央,y,ang,∅,ō
横,h,eng,∅,ō
屋,w,u,∅,oku
温,w,en,∅,on
化,h,ua,k,a
化,h,ua,k,e
荷,h,e,k,a
界,j,ie,k,ai
開,k,ai,k,ai
階,j,ie,k,ai
寒,h,an,k,an
感,g,an,k,an
漢,h,an,k,an
館,g,uan,k,an
岸,∅,an,g,an
起,q,i,k,i
期,q,i,k,i
期,q,i,g,o
客,k,e,k,yaku
客,k,e,k,aku
究,j,iu,k,yū
急,j,i,k,yū
級,j,i,k,yū
宮,g,ong,k,yū
球,q,iu,k,yū
去,q,u,k,yo
去,q,u,k,o
橋,q,iao,k,yō
業,y,e,g,yō
業,y,e,g,ō
曲,q,u,k,yoku
局,j,u,k,yoku
銀,y,in,g,in
区,q,u,k,u
苦,k,u,k,u
具,j,u,g,u
君,j,ün,k,un
係,x,i,k,ē(ei)
軽,q,ing,k,ē(ei)
血,x,üe,k,etu
決,j,üe,k,etu
研,y,an,k,en
県,x,ian,k,en
庫,k,u,k,o
湖,h,u,k,o
向,x,iang,k,ō
幸,x,ing,k,ō
港,g,ang,k,ō
号,h,ao,g,ō
根,g,en,k,on
祭,j,i,s,ai
仕,sh,i,s,i
死,s,i,s,i
使,sh,i,s,i
始,sh,i,s,i
指,zh,i,s,i
歯,ch,i,s,i
詩,sh,i,s,i
次,c,i,z,i
事,sh,i,z,i
持,ch,i,z,i
式,sh,i,s,iki
実,sh,i,z,itu
写,x,ie,s,ya
者,zh,e,s,ya
主,zh,u,s,yu
守,sh,ou,s,yu
取,q,u,s,yu
酒,j,iu,s,yu
受,sh,ou,z,yu
州,zh,ou,s,yū
拾,sh,i,s,yū
終,zh,ong,s,yū
習,x,i,s,yū
集,j,i,s,yū
住,zh,u,z,yū
重,zh,ong,z,yū
重,zh,ong,t,yō
宿,s,u,s,yuku
所,s,uo,s,yo
暑,sh,u,s,yo
助,zh,u,z,yo
昭,zh,ao,s,yō
消,x,iao,s,yō
商,sh,ang,s,yō
章,zh,ang,s,yō
勝,sh,eng,s,yō
乗,ch,eng,z,yō
植,zh,i,s,yoku
申,sh,en,s,in
身,sh,en,s,in
神,sh,en,s,in
真,zh,en,s,in
深,sh,en,s,in
進,j,in,s,in
世,sh,i,s,ē(ei)
整,zh,eng,s,ē(ei)
昔,x,i,s,eki
全,q,üan,z,en
相,x,iang,s,ō
送,s,ong,s,ō
想,x,iang,s,ō
息,x,i,s,oku
速,s,u,s,oku
族,z,u,z,oku
他,t,a,t,a
打,d,a,d,a
対,d,ui,t,ai
待,d,ai,t,ai
代,d,ai,d,ai
第,d,i,d,ai
題,t,i,d,ai
炭,t,an,t,an
短,d,uan,t,an
談,t,an,d,an
着,zh,uo,t,yaku
着,zh,uo,z,yaku
注,zh,u,t,yū
柱,zh,u,t,yū
丁,d,ing,t,ē(ei)
帐,zh,ang,t,yō
调,d,iao,t,yō
追,zh,ui,t,ui
定,d,ing,t,ē(ei)
庭,t,ing,t,ē(ei)
笛,d,i,t,eki
铁,t,ie,t,etu
転,z,uan,t,en
都,d,u,t,o
都,d,u,t,u
度,d,u,d,o
度,d,u,t,aku
投,t,ou,t,ō
豆,d,ou,t,ō
島,d,ao,t,ō
湯,t,ang,t,ō
登,d,eng,t,ō
等,d,eng,t,ō
動,d,ong,d,ō
童,t,ong,d,ō
農,n,ong,n,ō
波,b,o,h,a
配,p,ei,h,ai
倍,b,ei,h,ai
発,f,a,h,atu
反,f,an,h,an
反,f,an,h,on
反,f,an,t,an
坂,b,an,h,an
板,b,an,h,an
板,b,an,b,an
皮,p,i,h,i
悲,b,ei,h,i
美,m,ei,b,i
鼻,b,i,b,i
筆,b,i,h,itu
氷,b,ing,h,yō
表,b,iao,h,yō
秒,m,iao,b,yō
病,b,ing,b,yō
品,p,in,h,in
負,f,u,h,u
部,b,u,b,u
服,f,u,h,uku
福,f,u,h,uku
物,w,u,b,utu
物,w,u,m,otu
平,p,ing,h,ē(ei)
平,p,ing,b,yō
返,f,an,h,en
勉,m,ian,b,en
放,f,ang,h,ō
味,w,ei,m,i
命,m,ing,m,ē(ei)
命,m,ing,m,yō
面,m,ian,m,en
問,w,en,m,on
役,y,i,y,eki
薬,y,ao,y,aku
由,y,ou,y,ū
由,y,ou,y,u
油,y,ou,y,u
有,y,ou,y,ū
遊,y,ou,y,ū
遊,y,ou,y,u
予,y,u,y,o
羊,y,ang,y,ō
洋,y,ang,y,ō
葉,y,e,y,ō
陽,y,ang,y,ō
様,y,ang,y,ō
落,l,uo,r,aku
流,l,iu,r,yū
旅,l,ü,r,yo
両,l,iang,r,yō
緑,l,ü,r,yoku
緑,l,,r,oku
礼,l,i,r,ē(ei)
礼,l,i,r,ai
列,l,ie,r,etu
練,l,ian,r,en
路,l,u,r,o
和,h,e,w,a
愛,∅,ai,∅,ai
案,∅,an,∅,an
以,y,i,∅,i
衣,y,i,∅,i
以,w,ei,∅,i
茨,c,i,z,i
印,y,in,∅,in
英,y,ing,∅,ē(ei)
栄,r,ong,∅,ē(ei)
媛,y,üan,∅,en
塩,y,an,∅,en
岡,g,ang,k,ō
億,y,i,∅,oku
加,j,ia,k,a
果,g,uo,k,a
貨,h,uo,k,a
課,k,e,k,a
芽,y,a,g,a
賀,h,e,g,a
改,g,ai,k,ai
械,x,ie,k,ai
害,h,ai,g,ai
街,j,ie,k,ai
街,j,ie,g,ai
各,g,e,k,aku
覚,j,iao,k,aku
渦,w,o,k,a
完,w,an,k,an
官,g,uan,k,an
管,g,uan,k,an
関,g,uan,k,an
観,g,uan,k,an
願,y,üan,g,an
岐,q,i,k,i
希,x,i,k,i
季,j,i,k,i
旗,q,i,k,i
器,q,i,k,i
機,j,i,k,i
議,y,i,g,i
求,q,iu,k,yū
泣,q,i,k,yū
給,j,i,k,yū
挙,j,ü,k,yo
漁,y,u,g,yo
共,g,ong,k,yō
協,x,ie,k,yō
鏡,j,ing,k,yō
競,j,ing,k,yō
極,j,i,k,yoku
熊,x,iong,∅,yū
訓,x,ün,k,un
軍,j,ün,g,un
郡,j,ün,g,un
群,q,ün,g,un
径,j,ing,k,ē(ei)
景,j,ing,k,ē(ei)
芸,y,i,g,ē(ei)
欠,q,ian,k,etu
結,j,ie,k,etu
建,j,ian,k,en
建,j,ian,k,on
健,j,ian,k,en
験,y,an,k,en
験,y,an,g,an
固,g,u,k,o
功,g,ong,k,ō
功,g,ong,k,u
好,h,ao,k,ō
香,x,iang,k,ō
候,h,ou,k,ō
康,k,ang,k,ō
佐,z,uo,s,a
差,c,ai,s,a
菜,c,ai,s,ai
最,z,ui,s,ai
材,c,ai,z,ai
昨,z,uo,s,aku
札,zh,a,s,atu
刷,sh,ua,s,atu
察,ch,a,s,atu
参,c,an,s,an
産,c,an,s,an
散,s,an,s,an
残,c,an,z,an
氏,sh,i,s,i
司,s,i,s,i
試,sh,i,s,i
児,∅,er,z,i
児,∅,er,n,i
治,zh,i,z,i
治,zh,i,t,i
滋,z,i,s,i
辞,c,i,s,i
鹿,l,u,r,oku
失,sh,i,s,itu
借,j,ie,s,yaku
種,zh,ong,s,yu
周,zh,ou,s,yū
祝,zh,u,s,yuku
順,sh,un,z,yun
初,ch,u,s,yo
松,s,ong,s,yō
笑,x,iao,s,yō
唱,ch,ang,s,yō
焼,sh,ao,s,yō
照,zh,ao,s,yō
城,ch,eng,z,yō
縄,sh,eng,z,yō
臣,ch,en,s,in
信,x,in,s,in
井,j,ing,s,ē(ei)
井,j,ing,z,yō
成,ch,eng,s,ē(ei)
省,sh,eng,s,yō
清,q,ing,s,ē(ei)
静,j,ing,s,ē(ei)
席,x,i,s,eki
積,j,i,s,eki
折,zh,e,s,etu
節,j,ie,s,etu
説,sh,uo,s,etu
浅,q,ian,s,en
戦,zh,an,s,en
選,x,üan,s,en
然,r,an,z,en
争,zh,eng,s,ō
倉,c,ang,s,ō
巣,ch,ao,s,ō
束,sh,u,s,oku
側,c,e,s,oku
続,x,u,z,oku
卒,z,u,s,otu
孫,s,un,s,on
帯,d,ai,t,ai
隊,d,ui,t,ai
達,d,a,t,atu
単,d,an,t,an
置,zh,i,t,i
仲,zh,ong,t,yū
沖,ch,ong,t,yū
兆,zh,ao,t,yō
低,d,i,t,ē(ei)
底,d,i,t,ē(ei)
的,d,i,t,eki
典,d,ian,t,en
伝,ch,uan,d,en
徒,t,u,t,o
努,n,u,d,o
灯,d,eng,t,ō
働,d,ong,d,ō
特,t,e,t,oku
徳,d,e,t,oku
奈,n,ai,n,a
梨,l,i,r,i
熱,r,e,n,etu
念,n,ian,n,en
敗,b,ai,s,ai
梅,m,ei,b,ai
博,b,o,h,aku
阪,b,an,b,an
飯,f,an,h,an
飛,f,ei,h,i
必,b,i,h,i
票,p,iao,h,yō
標,b,iao,h,yō
不,b,u,h,u
夫,f,u,h,u
付,f,u,h,u
府,f,u,h,u
阜,f,u,h,u
富,f,u,h,u
副,f,u,h,uku
兵,b,ing,h,ē(ei)
別,b,ie,b,etu
辺,b,ian,b,en
変,b,ian,h,en
便,b,ian,b,en
包,b,ao,h,ō
法,f,a,h,ō
望,w,ang,b,ō
牧,m,u,b,oku
末,m,o,m,atu
満,m,an,m,an
压,y,a,∅,atu
困,k,un,k,on
移,y,i,∅,i
因,y,in,∅,in
永,y,ong,∅,ē(ei)
営,y,ing,∅,ē(ei)
衛,w,ei,∅,ē(ei)
易,y,i,∅,eki
益,y,i,∅,eki
液,y,e,∅,eki
演,y,an,∅,en
応,y,ing,∅,ō
往,w,ang,∅,ō
桜,y,ing,∅,ō
可,k,e,k,a
仮,k,a,k,a
仮,k,a,k,e
価,k,a,k,a
河,h,e,k,a
過,g,uo,k,a
快,k,uai,k,ai
解,j,ie,k,ai
格,g,e,k,aku
確,q,üe,k,aku
額,∅,e,g,aku
刊,k,an,k,an
幹,g,an,k,an
慣,g,uan,k,an
眼,y,an,g,an
紀,j,i,k,i
基,j,i,k,i
寄,j,i,k,i
規,g,ui,k,i
喜,x,i,k,i
技,j,i,g,i
義,y,i,g,i
逆,n,i,g,yaku
久,j,iu,k,yū
旧,j,iu,k,yū
救,j,iu,k,yū
居,j,ü,k,yo
許,x,ü,k,yo
境,j,ing,k,yō
均,j,ün,k,in
禁,j,in,k,in
句,j,u,k,u
型,x,ing,k,ē(ei)
経,j,ing,k,ē(ei)
経,j,ing,k,yō
潔,j,ie,k,etu
件,j,ian,k,en
険,x,ian,k,en
検,j,ian,k,en
限,x,ian,g,en
現,x,ian,g,en
減,j,ian,g,en
故,g,u,k,o
個,g,e,k,o
護,h,u,k,o
効,x,iao,k,ō
厚,h,ou,k,ō
耕,g,eng,k,ō
航,h,ang,k,ō
鈪,∅,e,g,aku
構,g,ou,k,ō
興,x,ing,k,ō
興,x,ing,k,yō
講,j,iang,k,ō
告,g,ao,k,ō
混,h,un,k,on
査,ch,a,s,a
再,z,ai,s,ai
災,z,ai,s,ai
妻,q,i,s,ai
採,c,ai,s,ai
際,j,i,s,ai
在,z,ai,z,ai
財,c,ai,z,ai
罪,z,ui,z,ai
殺,sh,a,s,atu
殺,sh,a,s,ai
殺,sh,a,s,etu
雑,z,a,z,atu
酸,s,uan,s,an
贊,z,an,s,an
士,sh,i,s,i
支,zh,i,s,i
史,sh,i,s,i
志,zh,i,s,i
枝,zh,i,s,i
師,sh,i,s,i
資,z,i,s,i
飼,s,i,s,i
示,sh,i,z,i
似,s,i,z,i
識,sh,i,s,iki
質,zh,i,s,itu
舍,sh,e,s,ya
謝,x,ie,s,ya
授,sh,ou,z,yu
修,x,iu,s,yū
述,sh,u,z,yutu
術,sh,u,z,yutu
準,zh,un,z,yun
序,x,ü,z,yo
招,zh,ao,s,yō
証,zh,eng,s,yō
象,x,iang,s,yō
象,x,iang,z,ō
賞,sh,ang,s,yō
条,t,iao,z,yō
状,zh,uang,z,yō
常,ch,ang,z,yō
情,q,ing,z,yō
織,zh,i,s,iki
職,zh,i,s,iki
制,zh,i,s,ē(ei)
性,x,ing,s,ē(ei)
政,zh,eng,s,ē(ei)
勢,sh,i,s,ē(ei)
精,j,ing,s,ē(ei)
製,zh,i,s,ē(ei)
税,sh,ui,z,ē(ei)
責,z,e,s,eki
績,j,i,s,eki
接,j,ie,s,etu
設,sh,e,s,etu
絶,j,üe,s,etu
祖,z,u,s,o
素,s,u,s,o
総,z,ong,s,ō
造,z,ao,z,ō
像,x,iang,z,ō
増,z,eng,z,ō
則,z,e,s,oku
測,c,e,s,oku
属,sh,u,s,oku
率,l,ü,s,otu
率,l,ü,r,itu
損,s,un,s,on
貸,d,ai,t,ai
態,t,ai,t,ai
団,t,uan,d,an
団,t,uan,d,on
断,d,uan,d,an
築,zh,u,t,iku
貯,zh,u,t,yo
張,zh,ang,t,yō
停,t,ing,t,ē(ei)
提,t,i,t,ē(ei)
程,ch,eng,t,ē(ei)
適,sh,i,t,eki
統,t,ong,t,ō
堂,t,ang,d,ō
銅,t,ong,d,ō
導,d,ao,d,ō
得,d,e,t,oku
毒,d,u,d,oku
独,d,u,d,oku
任,r,en,n,in
燃,r,an,n,en
能,n,eng,n,ō
破,p,o,h,a
犯,f,an,h,an
判,p,an,h,an
版,b,an,h,an
比,b,i,h,i
肥,f,ei,h,i
非,f,ei,h,i
費,f,ei,h,i
備,b,i,b,i
評,p,ing,h,yō
貧,p,in,h,in
貧,p,in,b,in
布,b,u,h,u
婦,f,u,h,u
武,w,u,b,u
復,f,u,h,uku
複,f,u,h,uku
仏,f,u,b,utu
粉,f,en,h,un
編,b,ian,h,en
弁,b,ian,b,en
保,b,ao,h,o
墓,m,u,b,o
報,b,ao,h,ō
豊,f,eng,h,ō
防,f,ang,b,ō
貿,m,ao,b,ō
暴,b,ao,b,ō
脈,m,ai,m,yaku
務,w,u,m,u
夢,m,eng,m,u
迷,m,i,m,ē(ei)
綿,m,ian,m,en
輸,y,u,∅,yu
余,y,ü,∅,yo
容,r,ong,∅,yō
略,l,üe,r,yaku
留,l,iu,r,yū
領,l,ing,r,yō
歴,l,i,r,eki
胃,w,ei,∅,i
異,y,i,∅,i
遺,y,i,∅,i
域,y,ü,∅,iki
宇,y,ü,∅,u
映,y,ing,∅,ē(ei)
延,y,an,∅,en
沿,y,an,∅,en
恩,∅,en,∅,on
我,w,o,g,a
灰,h,ui,k,ai
拡,k,uo,k,aku
革,g,e,k,aku
閣,g,e,k,aku
割,g,e,k,atu
干,g,an,k,an
巻,j,üan,k,an
看,k,an,k,an
簡,j,ian,k,an
危,w,ei,k,i
机,j,i,k,i
揮,h,ui,k,i
貴,g,ui,k,i
疑,y,i,g,i
吸,x,i,k,yū
供,g,ong,k,yō
胸,x,iong,k,yō
鄉,x,iang,k,yō
鄉,x,iang,g,ō
勤,q,in,k,yō
勤,q,in,g,ō
筋,j,in,k,yō
系,x,i,k,ē(ei)
敬,j,ing,k,ē(ei)
警,j,ing,k,ē(ei)
劇,j,u,g,eki
激,j,i,g,eki
穴,x,üe,k,etu
券,q,üan,k,en
絹,j,üan,k,en
権,q,üan,k,en
権,q,üan,g,on
憲,x,ian,k,en
源,y,üan,g,en
厳,y,an,g,en
己,j,i,k,o
己,j,i,k,i
呼,h,u,k,o
誤,w,u,g,o
后,h,ou,k,ō
孝,x,iao,k,ō
皇,h,uang,k,ō
皇,h,uang,∅,ō
紅,h,ong,k,ō
紅,h,ong,k,u
降,j,iang,k,ō
鋼,g,ang,k,ō
刻,k,e,k,oku
穀,g,u,k,oku
骨,g,u,k,otu
困,k,un,k,on
砂,sh,a,s,a
座,z,uo,z,a
済,j,i,s,ai
裁,c,ai,s,ai
策,c,e,s,aku
冊,c,e,s,atu
冊,c,e,s,aku
蚕,c,an,s,an
至,zh,i,s,i
私,s,i,s,i
姿,z,i,s,i
視,sh,i,s,i
詞,c,i,s,i
誌,zh,i,s,i
磁,c,i,z,i
射,sh,e,s,ya
捨,sh,e,s,ya
尺,ch,i,s,yaku
若,r,uo,z,yaku
若,r,uo,n,yaku
樹,sh,u,z,yu
収,sh,ou,s,yū
宗,z,ong,s,yū
就,j,iu,s,yū
就,j,iu,z,yu
衆,zh,ong,s,yū
衆,zh,ong,s,yu
従,c,ong,s,yū
従,c,ong,z,yū
縦,z,ong,z,yū
縮,s,uo,s,yuku
熟,sh,u,z,yuku
純,ch,un,z,yun
処,ch,u,s,yo
署,sh,u,s,yo
諸,zh,u,s,yo
除,ch,u,z,yo
承,ch,eng,s,yō
将,j,iang,s,yō
傷,sh,ang,s,yō
障,zh,ang,s,yō
蒸,zh,eng,z,yō
針,zh,en,s,in
仁,r,en,z,in
仁,r,en,n,i
垂,ch,ui,s,ui
推,t,ui,s,ui
寸,c,un,s,un
盛,sh,eng,s,ē(ei)
盛,sh,eng,z,yō
聖,sh,eng,s,ē(ei)
誠,ch,eng,s,ē(ei)
舌,sh,e,z,etu
宣,x,üan,s,en
専,zh,uan,s,en
泉,q,üan,s,en
洗,x,ian,s,en
染,r,an,s,en
銭,q,ian,s,en
善,sh,an,z,en
奏,z,ou,s,ō
窓,ch,uang,s,ō
創,ch,uang,s,ō
装,zh,uang,s,ō
装,zh,uang,s,yō
層,c,eng,s,ō
操,c,ao,s,ō
蔵,z,ang,z,ō
臓,z,ang,z,ō
存,c,un,s,on
存,c,un,z,on
尊,z,un,s,on
退,t,ui,t,ai
宅,zh,ai,t,aku
担,d,an,t,an
探,t,an,t,an
诞,d,an,t,an
段,d,uan,d,an
暖,n,uan,d,an
値,zh,i,t,i
宙,zh,ou,t,yū
忠,zh,ong,t,yū
著,zh,u,t,yo
庁,t,ing,t,yō
頂,d,ing,t,yō
腸,ch,ang,t,yō
潮,ch,ao,t,yō
賃,l,in,t,in
痛,t,ong,t,ū
敵,d,i,t,eki
展,zh,an,t,en
討,t,ao,t,ō
党,d,ang,t,ō
糖,t,ang,t,ō
鶏,j,i,k,ē(ei)
乳,r,u,n,yū
認,r,en,n,in
納,n,a,n,ō
脳,n,ao,n,ō
派,p,ai,h,a
拝,b,ai,h,ai
背,b,ei,h,ai
肺,f,ei,h,ai
俳,p,ai,h,ai
班,b,an,h,an
晩,w,an,b,an
否,f,ou,h,i
批,p,i,h,i
秘,m,i,h,i
依,y,i,∅,i
依,y,i,∅,e
腹,f,u,h,uku
奮,f,en,h,un
並,b,ing,h,ē(ei)
陛,b,i,h,ē(ei)
閉,b,i,h,ē(ei)
片,p,ian,h,en
補,b,u,h,o
暮,m,u,b,o
宝,b,ao,h,ō
訪,f,ang,h,ō
亡,w,ang,b,ō
亡,w,ang,m,ō
忘,w,ang,b,ō
棒,b,ang,b,ō
枚,m,ei,m,ai
幕,m,u,m,aku
幕,m,u,b,aku
密,m,i,m,itu
盟,m,eng,m,ē(ei)
模,m,o,m,o
模,m,o,b,o
識,sh,i,s,iki
郵,y,ou,y,ū
優,y,ou,y,ū
預,y,u,y,o
幼,y,ou,y,ō
欲,y,u,y,oku
翌,y,i,y,oku
乱,l,uan,r,an
卵,l,uan,r,an
覧,l,an,r,an
裏,l,i,r,i
律,l,ü,r,itu
臨,l,in,r,in
朗,l,ang,r,ō
論,l,un,r,on
